,User,Tweet Number,Tweet Date,Compound,Positive,Neutral,Negative
295,@CNN,96,Mon Jan 29 13:00:04 +0000 2018,-0.296,0.099,0.693,0.208
296,@CNN,97,Mon Jan 29 12:50:10 +0000 2018,0,0,1,0
297,@CNN,98,Mon Jan 29 12:40:13 +0000 2018,0.4588,0.188,0.812,0
298,@CNN,99,Mon Jan 29 12:32:23 +0000 2018,0,0,1,0
299,@CNN,100,Mon Jan 29 12:23:24 +0000 2018,0,0,1,0
300,@FoxNews,1,Mon Jan 29 22:29:36 +0000 2018,-0.5574,0,0.816,0.184
301,@FoxNews,2,Mon Jan 29 22:26:10 +0000 2018,0,0,1,0
302,@FoxNews,3,Mon Jan 29 22:12:25 +0000 2018,0,0,1,0
303,@FoxNews,4,Mon Jan 29 22:11:30 +0000 2018,-0.5719,0,0.68,0.32
304,@FoxNews,5,Mon Jan 29 21:53:22 +0000 2018,0.3818,0.159,0.841,0
305,@FoxNews,6,Mon Jan 29 21:35:53 +0000 2018,-0.2263,0,0.853,0.147
306,@FoxNews,7,Mon Jan 29 21:14:48 +0000 2018,-0.0772,0.194,0.547,0.259
307,@FoxNews,8,Mon Jan 29 21:01:47 +0000 2018,0,0,1,0
308,@FoxNews,9,Mon Jan 29 20:35:00 +0000 2018,-0.6808,0,0.662,0.338
309,@FoxNews,10,Mon Jan 29 20:27:16 +0000 2018,-0.6249,0,0.638,0.362
310,@FoxNews,11,Mon Jan 29 20:18:57 +0000 2018,0.4215,0.123,0.877,0
311,@FoxNews,12,Mon Jan 29 20:08:23 +0000 2018,-0.6808,0,0.556,0.444
312,@FoxNews,13,Mon Jan 29 19:50:06 +0000 2018,0,0,1,0
313,@FoxNews,14,Mon Jan 29 19:42:15 +0000 2018,-0.3612,0.104,0.695,0.201
314,@FoxNews,15,Mon Jan 29 19:31:38 +0000 2018,0.3818,0.133,0.867,0
315,@FoxNews,16,Mon Jan 29 19:24:47 +0000 2018,-0.4404,0,0.756,0.244
316,@FoxNews,17,Mon Jan 29 19:22:48 +0000 2018,0.6249,0.177,0.823,0
317,@FoxNews,18,Mon Jan 29 19:16:19 +0000 2018,0.2732,0.161,0.732,0.107
318,@FoxNews,19,Mon Jan 29 19:11:32 +0000 2018,0,0,1,0
319,@FoxNews,20,Mon Jan 29 18:58:38 +0000 2018,0.8519,0.354,0.646,0
320,@FoxNews,21,Mon Jan 29 22:29:36 +0000 2018,-0.5574,0,0.816,0.184
321,@FoxNews,22,Mon Jan 29 22:26:10 +0000 2018,0,0,1,0
322,@FoxNews,23,Mon Jan 29 22:12:25 +0000 2018,0,0,1,0
323,@FoxNews,24,Mon Jan 29 22:11:30 +0000 2018,-0.5719,0,0.68,0.32
324,@FoxNews,25,Mon Jan 29 21:53:22 +0000 2018,0.3818,0.159,0.841,0
325,@FoxNews,26,Mon Jan 29 21:35:53 +0000 2018,-0.2263,0,0.853,0.147
326,@FoxNews,27,Mon Jan 29 21:14:48 +0000 2018,-0.0772,0.194,0.547,0.259
327,@FoxNews,28,Mon Jan 29 21:01:47 +0000 2018,0,0,1,0
328,@FoxNews,29,Mon Jan 29 20:35:00 +0000 2018,-0.6808,0,0.662,0.338
329,@FoxNews,30,Mon Jan 29 20:27:16 +0000 2018,-0.6249,0,0.638,0.362
330,@FoxNews,31,Mon Jan 29 20:18:57 +0000 2018,0.4215,0.123,0.877,0
331,@FoxNews,32,Mon Jan 29 20:08:23 +0000 2018,-0.6808,0,0.556,0.444
332,@FoxNews,33,Mon Jan 29 19:50:06 +0000 2018,0,0,1,0
333,@FoxNews,34,Mon Jan 29 19:42:15 +0000 2018,-0.3612,0.104,0.695,0.201
334,@FoxNews,35,Mon Jan 29 19:31:38 +0000 2018,0.3818,0.133,0.867,0
335,@FoxNews,36,Mon Jan 29 19:24:47 +0000 2018,-0.4404,0,0.756,0.244
336,@FoxNews,37,Mon Jan 29 19:22:48 +0000 2018,0.6249,0.177,0.823,0
337,@FoxNews,38,Mon Jan 29 19:16:19 +0000 2018,0.2732,0.161,0.732,0.107
338,@FoxNews,39,Mon Jan 29 19:11:32 +0000 2018,0,0,1,0
339,@FoxNews,40,Mon Jan 29 18:58:38 +0000 2018,0.8519,0.354,0.646,0
340,@FoxNews,41,Mon Jan 29 18:52:49 +0000 2018,0,0,1,0
341,@FoxNews,42,Mon Jan 29 18:51:03 +0000 2018,0,0,1,0
342,@FoxNews,43,Mon Jan 29 18:35:22 +0000 2018,-0.4404,0,0.756,0.244
343,@FoxNews,44,Mon Jan 29 18:32:37 +0000 2018,-0.2023,0,0.795,0.205
344,@FoxNews,45,Mon Jan 29 18:26:44 +0000 2018,0.5994,0.302,0.698,0
345,@FoxNews,46,Mon Jan 29 18:01:21 +0000 2018,0,0,1,0
346,@FoxNews,47,Mon Jan 29 17:41:20 +0000 2018,0.4019,0.188,0.812,0
347,@FoxNews,48,Mon Jan 29 17:26:27 +0000 2018,0.25,0.105,0.895,0
348,@FoxNews,49,Mon Jan 29 17:21:02 +0000 2018,-0.2023,0,0.909,0.091
349,@FoxNews,50,Mon Jan 29 17:14:27 +0000 2018,-0.1779,0,0.803,0.197
350,@FoxNews,51,Mon Jan 29 17:10:20 +0000 2018,0,0,1,0
351,@FoxNews,52,Mon Jan 29 17:08:06 +0000 2018,0.2023,0.096,0.904,0
352,@FoxNews,53,Mon Jan 29 16:50:29 +0000 2018,0,0,1,0
353,@FoxNews,54,Mon Jan 29 16:43:07 +0000 2018,0,0,1,0
354,@FoxNews,55,Mon Jan 29 16:39:52 +0000 2018,0,0,1,0
355,@FoxNews,56,Mon Jan 29 16:16:58 +0000 2018,-0.1531,0,0.918,0.082
356,@FoxNews,57,Mon Jan 29 16:11:14 +0000 2018,0,0,1,0
357,@FoxNews,58,Mon Jan 29 16:06:09 +0000 2018,-0.4717,0,0.809,0.191
358,@FoxNews,59,Mon Jan 29 15:58:35 +0000 2018,0,0,1,0
359,@FoxNews,60,Mon Jan 29 15:49:36 +0000 2018,0,0,1,0
360,@FoxNews,61,Mon Jan 29 15:44:32 +0000 2018,0.296,0.128,0.872,0
361,@FoxNews,62,Mon Jan 29 15:35:34 +0000 2018,0,0,1,0
362,@FoxNews,63,Mon Jan 29 15:35:00 +0000 2018,-0.296,0.091,0.758,0.152
363,@FoxNews,64,Mon Jan 29 15:33:42 +0000 2018,0,0,1,0
364,@FoxNews,65,Mon Jan 29 15:27:26 +0000 2018,-0.3818,0,0.809,0.191
365,@FoxNews,66,Mon Jan 29 15:22:29 +0000 2018,0.25,0.1,0.9,0
366,@FoxNews,67,Mon Jan 29 15:11:01 +0000 2018,-0.6808,0,0.752,0.248
367,@FoxNews,68,Mon Jan 29 15:10:13 +0000 2018,0,0,1,0
368,@FoxNews,69,Mon Jan 29 15:10:01 +0000 2018,-0.7769,0,0.702,0.298
369,@FoxNews,70,Mon Jan 29 14:53:42 +0000 2018,0.6369,0.206,0.794,0
370,@FoxNews,71,Mon Jan 29 14:43:33 +0000 2018,-0.7506,0,0.484,0.516
371,@FoxNews,72,Mon Jan 29 14:38:34 +0000 2018,0,0,1,0
372,@FoxNews,73,Mon Jan 29 14:03:04 +0000 2018,0,0,1,0
373,@FoxNews,74,Mon Jan 29 13:58:01 +0000 2018,-0.4215,0,0.887,0.113
374,@FoxNews,75,Mon Jan 29 13:57:43 +0000 2018,-0.3818,0.048,0.846,0.107
375,@FoxNews,76,Mon Jan 29 13:54:43 +0000 2018,-0.296,0,0.891,0.109
376,@FoxNews,77,Mon Jan 29 13:46:51 +0000 2018,0.5423,0.171,0.829,0
377,@FoxNews,78,Mon Jan 29 13:26:47 +0000 2018,0,0,1,0
378,@FoxNews,79,Mon Jan 29 13:17:51 +0000 2018,0,0,1,0
379,@FoxNews,80,Mon Jan 29 13:13:21 +0000 2018,0,0,1,0
380,@FoxNews,81,Mon Jan 29 13:07:18 +0000 2018,0,0,1,0
381,@FoxNews,82,Mon Jan 29 13:00:25 +0000 2018,0,0,1,0
382,@FoxNews,83,Mon Jan 29 12:58:53 +0000 2018,-0.8555,0,0.644,0.356
383,@FoxNews,84,Mon Jan 29 12:49:22 +0000 2018,0.5574,0.153,0.847,0
384,@FoxNews,85,Mon Jan 29 12:41:30 +0000 2018,0.6597,0.265,0.735,0
385,@FoxNews,86,Mon Jan 29 12:40:27 +0000 2018,0,0,1,0
386,@FoxNews,87,Mon Jan 29 12:37:10 +0000 2018,0,0,1,0
387,@FoxNews,88,Mon Jan 29 12:34:21 +0000 2018,-0.3182,0,0.892,0.108
388,@FoxNews,89,Mon Jan 29 12:29:08 +0000 2018,0,0,1,0
389,@FoxNews,90,Mon Jan 29 12:08:03 +0000 2018,-0.1779,0,0.828,0.172
390,@FoxNews,91,Mon Jan 29 12:06:02 +0000 2018,0.1531,0.124,0.78,0.096
391,@FoxNews,92,Mon Jan 29 12:01:37 +0000 2018,0,0,1,0
392,@FoxNews,93,Mon Jan 29 11:57:15 +0000 2018,-0.7964,0,0.608,0.392
393,@FoxNews,94,Mon Jan 29 11:46:46 +0000 2018,0,0,1,0
394,@FoxNews,95,Mon Jan 29 11:41:25 +0000 2018,0.8481,0.365,0.635,0
395,@FoxNews,96,Mon Jan 29 11:37:20 +0000 2018,-0.3252,0,0.879,0.121
396,@FoxNews,97,Mon Jan 29 11:25:38 +0000 2018,0.0258,0.283,0.503,0.214
397,@FoxNews,98,Mon Jan 29 11:23:18 +0000 2018,-0.6705,0,0.667,0.333
398,@FoxNews,99,Mon Jan 29 11:21:01 +0000 2018,0.34,0.211,0.789,0
399,@FoxNews,100,Mon Jan 29 11:03:12 +0000 2018,-0.6369,0,0.766,0.234
400,@nytimes,1,Mon Jan 29 22:17:02 +0000 2018,0.594,0.258,0.742,0
401,@nytimes,2,Mon Jan 29 22:07:07 +0000 2018,0,0,1,0
402,@nytimes,3,Mon Jan 29 22:05:07 +0000 2018,-0.3612,0,0.894,0.106
403,@nytimes,4,Mon Jan 29 21:55:03 +0000 2018,0.3818,0.11,0.89,0
404,@nytimes,5,Mon Jan 29 21:45:04 +0000 2018,0,0,1,0
405,@nytimes,6,Mon Jan 29 21:35:02 +0000 2018,-0.2263,0,0.921,0.079
406,@nytimes,7,Mon Jan 29 21:34:19 +0000 2018,0,0,1,0
407,@nytimes,8,Mon Jan 29 21:30:05 +0000 2018,0,0,1,0
408,@nytimes,9,Mon Jan 29 21:27:02 +0000 2018,-0.296,0,0.901,0.099
409,@nytimes,10,Mon Jan 29 21:25:06 +0000 2018,0.765,0.268,0.732,0
410,@nytimes,11,Mon Jan 29 21:15:05 +0000 2018,0,0,1,0
411,@nytimes,12,Mon Jan 29 21:05:04 +0000 2018,0.0936,0.138,0.746,0.117
412,@nytimes,13,Mon Jan 29 20:55:02 +0000 2018,-0.7659,0,0.708,0.292
413,@nytimes,14,Mon Jan 29 20:45:14 +0000 2018,-0.6759,0,0.764,0.236
414,@nytimes,15,Mon Jan 29 20:35:04 +0000 2018,0.1531,0.182,0.702,0.116
415,@nytimes,16,Mon Jan 29 20:25:06 +0000 2018,-0.3102,0,0.907,0.093
416,@nytimes,17,Mon Jan 29 20:15:13 +0000 2018,0,0,1,0
417,@nytimes,18,Mon Jan 29 20:05:03 +0000 2018,-0.4767,0,0.853,0.147
418,@nytimes,19,Mon Jan 29 19:55:06 +0000 2018,0.0258,0.207,0.591,0.202
419,@nytimes,20,Mon Jan 29 19:45:13 +0000 2018,0.7096,0.396,0.604,0
420,@nytimes,21,Mon Jan 29 22:17:02 +0000 2018,0.594,0.258,0.742,0
421,@nytimes,22,Mon Jan 29 22:07:07 +0000 2018,0,0,1,0
422,@nytimes,23,Mon Jan 29 22:05:07 +0000 2018,-0.3612,0,0.894,0.106
423,@nytimes,24,Mon Jan 29 21:55:03 +0000 2018,0.3818,0.11,0.89,0
424,@nytimes,25,Mon Jan 29 21:45:04 +0000 2018,0,0,1,0
425,@nytimes,26,Mon Jan 29 21:35:02 +0000 2018,-0.2263,0,0.921,0.079
426,@nytimes,27,Mon Jan 29 21:34:19 +0000 2018,0,0,1,0
427,@nytimes,28,Mon Jan 29 21:30:05 +0000 2018,0,0,1,0
428,@nytimes,29,Mon Jan 29 21:27:02 +0000 2018,-0.296,0,0.901,0.099
429,@nytimes,30,Mon Jan 29 21:25:06 +0000 2018,0.765,0.268,0.732,0
430,@nytimes,31,Mon Jan 29 21:15:05 +0000 2018,0,0,1,0
431,@nytimes,32,Mon Jan 29 21:05:04 +0000 2018,0.0936,0.138,0.746,0.117
432,@nytimes,33,Mon Jan 29 20:55:02 +0000 2018,-0.7659,0,0.708,0.292
433,@nytimes,34,Mon Jan 29 20:45:14 +0000 2018,-0.6759,0,0.764,0.236
434,@nytimes,35,Mon Jan 29 20:35:04 +0000 2018,0.1531,0.182,0.702,0.116
435,@nytimes,36,Mon Jan 29 20:25:06 +0000 2018,-0.3102,0,0.907,0.093
436,@nytimes,37,Mon Jan 29 20:15:13 +0000 2018,0,0,1,0
437,@nytimes,38,Mon Jan 29 20:05:03 +0000 2018,-0.4767,0,0.853,0.147
438,@nytimes,39,Mon Jan 29 19:55:06 +0000 2018,0.0258,0.207,0.591,0.202
439,@nytimes,40,Mon Jan 29 19:45:13 +0000 2018,0.7096,0.396,0.604,0
440,@nytimes,41,Mon Jan 29 19:35:05 +0000 2018,0.4215,0.256,0.56,0.184
441,@nytimes,42,Mon Jan 29 19:25:08 +0000 2018,-0.5994,0,0.849,0.151
442,@nytimes,43,Mon Jan 29 19:15:08 +0000 2018,0.6557,0.267,0.733,0
443,@nytimes,44,Mon Jan 29 19:05:09 +0000 2018,-0.7351,0,0.721,0.279
444,@nytimes,45,Mon Jan 29 18:55:02 +0000 2018,0.079,0.145,0.726,0.129
445,@nytimes,46,Mon Jan 29 18:45:16 +0000 2018,0.296,0.145,0.855,0
446,@nytimes,47,Mon Jan 29 18:35:08 +0000 2018,0,0,1,0
447,@nytimes,48,Mon Jan 29 18:25:03 +0000 2018,0.5994,0.234,0.766,0
448,@nytimes,49,Mon Jan 29 18:15:12 +0000 2018,0,0,1,0
449,@nytimes,50,Mon Jan 29 18:05:06 +0000 2018,0.25,0.112,0.825,0.063
450,@nytimes,51,Mon Jan 29 17:55:06 +0000 2018,0,0,1,0
451,@nytimes,52,Mon Jan 29 17:45:13 +0000 2018,0.1779,0.091,0.909,0
452,@nytimes,53,Mon Jan 29 17:35:06 +0000 2018,-0.296,0,0.891,0.109
453,@nytimes,54,Mon Jan 29 17:23:25 +0000 2018,0,0,1,0
454,@nytimes,55,Mon Jan 29 17:22:19 +0000 2018,-0.4767,0,0.659,0.341
455,@nytimes,56,Mon Jan 29 17:21:31 +0000 2018,0,0,1,0
456,@nytimes,57,Mon Jan 29 17:20:26 +0000 2018,0.3612,0.185,0.815,0
457,@nytimes,58,Mon Jan 29 17:10:15 +0000 2018,0.0772,0.09,0.83,0.079
458,@nytimes,59,Mon Jan 29 17:00:16 +0000 2018,0.4404,0.172,0.828,0
459,@nytimes,60,Mon Jan 29 16:50:13 +0000 2018,-0.4404,0,0.854,0.146
460,@nytimes,61,Mon Jan 29 16:35:05 +0000 2018,0.0258,0.294,0.42,0.287
461,@nytimes,62,Mon Jan 29 16:20:06 +0000 2018,0,0,1,0
462,@nytimes,63,Mon Jan 29 16:10:13 +0000 2018,0.5423,0.209,0.791,0
463,@nytimes,64,Mon Jan 29 16:00:22 +0000 2018,0,0,1,0
464,@nytimes,65,Mon Jan 29 15:50:14 +0000 2018,0,0,1,0
465,@nytimes,66,Mon Jan 29 15:40:18 +0000 2018,-0.5198,0.099,0.67,0.231
466,@nytimes,67,Mon Jan 29 15:31:08 +0000 2018,-0.7096,0,0.753,0.247
467,@nytimes,68,Mon Jan 29 15:22:31 +0000 2018,0.836,0.283,0.717,0
468,@nytimes,69,Mon Jan 29 15:15:12 +0000 2018,0,0,1,0
469,@nytimes,70,Mon Jan 29 15:00:31 +0000 2018,0,0,1,0
470,@nytimes,71,Mon Jan 29 14:53:48 +0000 2018,-0.8074,0,0.722,0.278
471,@nytimes,72,Mon Jan 29 14:50:11 +0000 2018,0.3071,0.111,0.889,0
472,@nytimes,73,Mon Jan 29 14:40:08 +0000 2018,0.7845,0.311,0.637,0.052
473,@nytimes,74,Mon Jan 29 14:30:22 +0000 2018,0.296,0.104,0.896,0
474,@nytimes,75,Mon Jan 29 14:20:11 +0000 2018,0.4588,0.2,0.8,0
475,@nytimes,76,Mon Jan 29 14:11:09 +0000 2018,0.6124,0.227,0.773,0
476,@nytimes,77,Mon Jan 29 14:10:03 +0000 2018,0.7269,0.504,0.496,0
477,@nytimes,78,Mon Jan 29 14:00:24 +0000 2018,-0.8225,0,0.725,0.275
478,@nytimes,79,Mon Jan 29 13:40:07 +0000 2018,0.3818,0.133,0.867,0
479,@nytimes,80,Mon Jan 29 13:31:07 +0000 2018,0.4754,0.249,0.578,0.173
480,@nytimes,81,Mon Jan 29 13:14:04 +0000 2018,0.3612,0.116,0.884,0
481,@nytimes,82,Mon Jan 29 13:12:04 +0000 2018,-0.2263,0,0.888,0.112
482,@nytimes,83,Mon Jan 29 13:00:13 +0000 2018,0,0,1,0
483,@nytimes,84,Mon Jan 29 12:46:04 +0000 2018,0,0,1,0
484,@nytimes,85,Mon Jan 29 12:30:15 +0000 2018,-0.4468,0.075,0.763,0.162
485,@nytimes,86,Mon Jan 29 12:20:07 +0000 2018,-0.5106,0,0.645,0.355
486,@nytimes,87,Mon Jan 29 12:11:03 +0000 2018,0.2516,0.225,0.65,0.125
487,@nytimes,88,Mon Jan 29 12:00:27 +0000 2018,0.1255,0.11,0.801,0.089
488,@nytimes,89,Mon Jan 29 11:45:02 +0000 2018,0.2732,0.095,0.905,0
489,@nytimes,90,Mon Jan 29 11:41:04 +0000 2018,0.4404,0.172,0.828,0
490,@nytimes,91,Mon Jan 29 11:30:06 +0000 2018,0,0,1,0
491,@nytimes,92,Mon Jan 29 11:15:10 +0000 2018,0.2023,0.091,0.909,0
492,@nytimes,93,Mon Jan 29 10:58:01 +0000 2018,-0.25,0.053,0.851,0.096
493,@nytimes,94,Mon Jan 29 10:53:02 +0000 2018,-0.7096,0,0.753,0.247
494,@nytimes,95,Mon Jan 29 10:43:08 +0000 2018,0,0,1,0
495,@nytimes,96,Mon Jan 29 10:31:09 +0000 2018,-0.4767,0,0.838,0.162
496,@nytimes,97,Mon Jan 29 10:15:12 +0000 2018,-0.3164,0,0.897,0.103
497,@nytimes,98,Mon Jan 29 10:00:17 +0000 2018,-0.7906,0.063,0.635,0.302
498,@nytimes,99,Mon Jan 29 09:46:04 +0000 2018,0,0,1,0
499,@nytimes,100,Mon Jan 29 09:30:20 +0000 2018,-0.0634,0.143,0.742,0.115
