,User,Tweet Number,Tweet Date,Compound,Positive,Neutral,Negative
58,@BBCWorld,59,Mon Jan 29 09:08:21 +0000 2018,-0.4404,0,0.775,0.225
59,@BBCWorld,60,Mon Jan 29 08:42:48 +0000 2018,0.4588,0.188,0.812,0
60,@BBCWorld,61,Mon Jan 29 08:16:58 +0000 2018,0.296,0.087,0.913,0
61,@BBCWorld,62,Mon Jan 29 08:16:05 +0000 2018,-0.1027,0.075,0.833,0.092
62,@BBCWorld,63,Mon Jan 29 07:24:33 +0000 2018,0,0,1,0
63,@BBCWorld,64,Mon Jan 29 07:18:35 +0000 2018,0.0516,0.118,0.882,0
64,@BBCWorld,65,Mon Jan 29 07:07:14 +0000 2018,0.296,0.314,0.686,0
65,@BBCWorld,66,Mon Jan 29 07:03:49 +0000 2018,-0.7964,0,0.53,0.47
66,@BBCWorld,67,Mon Jan 29 06:56:52 +0000 2018,-0.7269,0,0.534,0.466
67,@BBCWorld,68,Mon Jan 29 05:34:14 +0000 2018,0,0,1,0
68,@BBCWorld,69,Mon Jan 29 05:05:19 +0000 2018,0,0,1,0
69,@BBCWorld,70,Mon Jan 29 04:38:30 +0000 2018,0,0,1,0
70,@BBCWorld,71,Mon Jan 29 04:04:17 +0000 2018,0.5106,0.13,0.87,0
71,@BBCWorld,72,Mon Jan 29 04:02:40 +0000 2018,0.802,0.324,0.676,0
72,@BBCWorld,73,Mon Jan 29 03:50:17 +0000 2018,0.5719,0.188,0.812,0
73,@BBCWorld,74,Mon Jan 29 03:45:58 +0000 2018,0,0,1,0
74,@BBCWorld,75,Mon Jan 29 03:40:19 +0000 2018,0.5859,0.241,0.759,0
75,@BBCWorld,76,Mon Jan 29 03:40:13 +0000 2018,0,0,1,0
76,@BBCWorld,77,Mon Jan 29 03:37:25 +0000 2018,0.802,0.324,0.676,0
77,@BBCWorld,78,Mon Jan 29 03:14:53 +0000 2018,0.8555,0.318,0.682,0
78,@BBCWorld,79,Mon Jan 29 03:14:18 +0000 2018,0.8555,0.359,0.641,0
