,City,Lat,Max Temp,Cloudiness,Humidity,Wind Speed,Date
465,mookane,-23.622240258609445,91.91,0.0,30.0,11.79,1516982025.0
466,vila+velha,-26.272544482229375,86.0,40.0,66.0,11.41,1516982400.0
467,roma,-27.091977179879507,57.2,40.0,66.0,12.75,1516980000.0
472,carnarvon,-22.665932037014734,75.26,92.0,40.0,10.33,1516982030.0
475,koumac,-21.78105556366697,74.54,68.0,98.0,10.78,1516982031.0
480,maun,-20.328198643806182,77.0,75.0,69.0,10.29,1516978800.0
482,tocopilla,-22.155000033761077,70.72,8.0,75.0,5.86,1516982036.0
486,alofi,-20.24570840794024,75.2,90.0,100.0,4.7,1516978800.0
487,maltahohe,-24.847829998510758,89.44,44.0,22.0,15.03,1516982039.0
498,puerto+ayora,-19.25500287039518,78.8,90.0,74.0,16.11,1516978800.0
500,itapecerica,-20.43065938003098,85.07,36.0,49.0,5.19,1516982042.0
504,iquique,-20.36039114157058,73.4,0.0,60.0,17.22,1516978800.0
507,cajati,-24.381397972148974,79.22,92.0,79.0,9.44,1516982047.0
508,angoche,-17.834015462785054,82.69,0.0,100.0,6.64,1516982049.0
510,saint-joseph,-26.17927214945824,55.4,90.0,71.0,11.41,1516980600.0
511,henties+bay,-21.317529203985096,67.97,0.0,89.0,10.78,1516982052.0
516,caravelas,-22.5465918239033,79.54,0.0,100.0,11.23,1516982053.0
517,morondava,-18.70077222994638,88.04,8.0,68.0,7.87,1516982055.0
520,innisfail,-17.15384612241395,1.4,40.0,84.0,6.93,1516978800.0
523,ilhabela,-23.991207881426813,76.21,88.0,100.0,8.43,1516982058.0
525,teahupoo,-18.641186427282513,75.2,0.0,78.0,1.12,1516980600.0
527,haapiti,-19.62307415583509,75.2,24.0,78.0,1.12,1516980600.0
530,port+hedland,-16.969702775888607,84.2,76.0,83.0,8.05,1516978800.0
531,mount+isa,-18.65284177630501,78.8,44.0,74.0,2.24,1516978800.0
532,luganville,-15.570099215306955,76.88,92.0,100.0,9.78,1516982068.0
533,hithadhoo,-14.362359324162053,83.27,80.0,99.0,9.44,1516982069.0
536,georgetown,-14.461911993765076,86.0,0.0,58.0,13.87,1516978800.0
539,belmonte,-15.483766723010024,47.59,0.0,75.0,11.9,1516982076.0
541,san+ramon,-13.972241858020492,68.0,40.0,82.0,18.34,1516978800.0
545,bambanglipuro,-16.534247832214405,77.11,76.0,84.0,2.84,1516982080.0
546,fare,-12.335233999788953,82.42,92.0,99.0,7.76,1516982083.0
551,sambava,-13.015789857446913,82.51,8.0,100.0,16.26,1516982085.0
552,pontes+e+lacerda,-14.986089978683713,86.29,0.0,92.0,4.18,1516982087.0
553,atuona,-12.787718753466677,76.57,92.0,100.0,14.58,1516982089.0
554,luziania,-16.166898543649538,66.2,75.0,93.0,6.93,1516980000.0
555,pau+brasil,-15.485743065054585,84.89,32.0,77.0,5.53,1516982092.0
558,namibe,-18.446874080883703,77.74,0.0,100.0,11.01,1516982095.0
559,taiobeiras,-15.86193357128836,84.26,8.0,54.0,6.31,1516982097.0
560,san+matias,-17.193744039682706,68.0,75.0,72.0,16.11,1516982400.0
561,cairns,-14.066058406770352,78.8,40.0,88.0,10.29,1516978800.0
563,lakatoro,-16.627613777943548,73.64,92.0,100.0,2.28,1516982102.0
567,campos+altos,-19.59019418259187,82.01,0.0,71.0,7.2,1516982103.0
569,lata,-10.901956271714235,28.51,0.0,100.0,1.83,1516982106.0
570,faanui,-10.753049129493032,81.97,48.0,100.0,10.33,1516982108.0
572,ambanja,-13.779018816111718,75.17,88.0,94.0,1.39,1516982110.0
574,macusani,-13.146139217155056,55.87,92.0,100.0,2.62,1516982112.0
575,waingapu,-10.059810647262736,71.71,92.0,100.0,5.75,1516982113.0
576,cap+malheureux,-13.522307921436196,82.4,40.0,78.0,5.82,1516978800.0
582,nhulunbuy,-12.348704660062078,77.0,92.0,100.0,3.36,1516978800.0
584,sechura,-8.320249435768263,76.07,0.0,75.0,8.43,1516982118.0
585,inhambupe,-11.901461482576346,85.39,20.0,80.0,6.64,1516982119.0
586,nacala,-14.473509257542043,83.18,8.0,88.0,5.19,1516982120.0
587,morros,-9.207399928622365,86.0,75.0,70.0,13.87,1516982400.0
591,porto+velho,-8.670943993743574,80.6,75.0,78.0,2.24,1516978800.0
592,ambilobe,-10.943184147054698,76.84,80.0,99.0,3.62,1516982125.0
593,kupang,-12.406310666070905,80.6,90.0,88.0,5.82,1516978800.0
596,maracas,-13.163455245490418,84.2,20.0,62.0,16.11,1516978800.0
600,nabire,-7.152546042075346,69.59,56.0,93.0,1.95,1516982134.0
602,praya,-14.349201761518088,75.2,90.0,100.0,8.05,1516980600.0
605,daru,-12.919206530250941,94.07,0.0,35.0,4.41,1516982137.0
607,iberia,-11.410878647211113,82.87,20.0,78.0,3.06,1516982139.0
609,indiaroba,-11.513327061850369,86.29,68.0,67.0,9.66,1516982140.0
610,padang,-7.020709347487024,82.73,20.0,100.0,2.06,1516982142.0
613,buin,-7.410855754036406,73.4,0.0,46.0,8.05,1516982400.0
618,gondanglegi,-10.526615270564887,72.74,80.0,92.0,2.51,1516982147.0
620,tamandare,-11.97959466827557,82.82,20.0,83.0,3.74,1516982148.0
621,hualmay,-12.741907057427746,75.22,8.0,64.0,4.85,1516982150.0
622,santo+antonio+do+ica,-4.031009498677818,84.53,32.0,79.0,3.4,1516982152.0
623,touros,-4.807641368704509,86.33,56.0,68.0,13.69,1516982153.0
624,cabedelo,-5.874592810599745,86.0,75.0,55.0,11.41,1516978800.0
626,reriutaba,-4.07303420471688,81.79,64.0,72.0,4.29,1516982156.0
627,tabou,-3.848529773267206,77.02,56.0,100.0,7.87,1516982158.0
628,ruteng,-7.464099240643425,73.01,100.0,99.0,7.2,1516982159.0
629,san+cristobal,-2.9830533718287526,59.0,75.0,67.0,18.34,1516978800.0
631,sola,-10.26983456292851,35.6,90.0,94.0,5.82,1516980000.0
633,paita,-7.423228846942781,80.48,0.0,55.0,5.97,1516982164.0
635,sikonge,-5.768113987666032,71.89,80.0,87.0,3.74,1516982166.0
638,pitimbu,-7.397478274261847,86.0,75.0,55.0,11.41,1516978800.0
641,takoradi,-2.533667257197952,83.59,0.0,91.0,7.65,1516982169.0
643,karema,-6.55968106523754,74.45,88.0,77.0,3.18,1516982170.0
646,popondetta,-8.541170627382394,68.92,92.0,96.0,1.95,1516982172.0
650,tutoia,-0.5588371708309356,87.8,40.0,70.0,10.29,1516978800.0
651,jacareacanga,-8.219460161006364,84.2,75.0,79.0,3.36,1516978800.0
652,bukama,-8.716375675494044,78.77,32.0,92.0,3.4,1516982178.0
653,victoria,0.5901025340594188,77.0,90.0,94.0,4.7,1516978800.0
655,nauta,-3.8732678136582344,81.34,48.0,88.0,3.74,1516982182.0
657,thinadhoo,1.4702208553183667,82.69,92.0,100.0,7.54,1516982183.0
659,puerto+narino,-3.946709433774596,80.6,75.0,83.0,3.36,1516978800.0
661,ipixuna,-7.025763078584045,82.4,75.0,78.0,11.41,1516982400.0
663,port-gentil,-2.4803020674227847,86.0,40.0,70.0,11.41,1516978800.0
665,kavieng,-0.5415319157431941,83.36,76.0,100.0,16.82,1516982191.0
666,boa+vista,2.3973041968222724,91.4,75.0,36.0,17.22,1516982400.0
667,yantzaza,-4.090939708256937,71.84,24.0,77.0,2.95,1516982195.0
670,inongo,-2.0898803279110636,82.1,12.0,76.0,1.5,1516982197.0
671,mugumu,-2.221039077793365,76.07,0.0,50.0,3.96,1516982198.0
673,san+patricio,3.92714848728005,82.46,68.0,80.0,3.4,1516982202.0
675,kijang,0.8102503885916343,19.4,0.0,44.0,11.41,1516978800.0
676,lorengau,3.478052106216575,84.67,100.0,98.0,17.6,1516982206.0
677,trairi,0.5481983009526248,81.11,68.0,100.0,9.89,1516982208.0
680,caucaia,0.3756662480826414,86.0,40.0,66.0,11.41,1516982400.0
682,kloulklubed,3.274077573163799,80.6,75.0,83.0,6.93,1516978200.0
683,roura,4.555172417419751,82.4,75.0,78.0,10.29,1516980600.0
684,balaipungut,0.8186737574974989,78.41,8.0,87.0,3.51,1516982214.0
685,manggar,-4.48894657080181,77.96,44.0,95.0,6.42,1516982216.0
687,bubaque,2.3090801286434894,93.2,20.0,20.0,8.05,1516978800.0
689,wewak,-3.029674137092154,78.59,76.0,90.0,4.29,1516982220.0
693,tarakan,2.603454048009164,79.27,24.0,100.0,2.84,1516982104.0
694,limoeiro+do+ajuru,-1.7645568869171075,82.55,80.0,88.0,5.41,1516982226.0
695,la+primavera,5.084191415243513,75.2,20.0,53.0,6.93,1516978800.0
696,muisne,1.4547537402699797,76.7,80.0,95.0,4.63,1516982230.0
697,rovira,4.2354500139678,80.6,75.0,57.0,6.93,1516978800.0
698,bitung,2.8967715869973265,77.0,20.0,100.0,12.68,1516980600.0
700,kanniyakumari,5.220780583507501,80.75,0.0,100.0,3.74,1516982236.0
703,hobyo,1.1287451825392303,77.06,0.0,72.0,16.82,1516982239.0
704,matara,-0.03263269851553052,53.6,75.0,58.0,1.83,1516978800.0
707,parrita,7.263422337541035,77.0,20.0,53.0,21.92,1516978800.0
710,ixtapa,2.1700656853418003,69.8,20.0,77.0,2.28,1516977840.0
711,lethem,3.0467560598338217,89.57,8.0,46.0,13.02,1516982246.0
712,hilo,1.606170919765427,71.6,90.0,83.0,10.29,1516980960.0
713,brokopondo,4.389481107100663,84.2,20.0,70.0,13.87,1516978800.0
714,butaritari,6.4101598946079905,82.42,80.0,99.0,18.28,1516982251.0
715,sao+gabriel+da+cachoeira,1.3409979988364658,81.74,76.0,86.0,2.73,1516982253.0
716,pochutla,6.802386356022524,80.6,5.0,100.0,5.53,1516978260.0
718,kieta,2.3396386963321243,79.22,64.0,100.0,13.8,1516982258.0
721,jalingo,8.921436621675449,86.69,0.0,21.0,6.64,1516982259.0
723,seremban,2.684212713495607,78.8,75.0,83.0,3.36,1516978800.0
724,mazagao,0.8403759881901662,87.8,40.0,66.0,8.05,1516978800.0
725,palu,0.7817973118094268,67.84,48.0,71.0,1.61,1516982264.0
727,meulaboh,2.1846189706366115,76.88,68.0,100.0,5.86,1516982267.0
728,harper,1.8667297550378894,55.4,90.0,100.0,14.03,1516979700.0
729,sapa,3.960229164606166,80.6,75.0,88.0,11.41,1516978800.0
730,ippy,7.293613820701176,87.82,0.0,42.0,7.31,1516982272.0
735,ca+mau,8.182151833986698,78.91,0.0,83.0,10.78,1516982275.0
736,puerto+carreno,6.182493700935028,89.6,75.0,55.0,19.46,1516978800.0
737,cayenne,11.407922365011,82.4,75.0,78.0,10.29,1516980600.0
738,bacolod,9.206948475927387,77.11,12.0,92.0,5.19,1516982280.0
739,garowe,9.666805774987477,80.75,0.0,30.0,3.62,1516982282.0
742,bandarbeyla,7.123793495944444,75.31,0.0,100.0,16.26,1516982283.0
743,santa+cruz,9.229636191080122,44.6,90.0,100.0,3.36,1516980900.0
